找到 1 个数据文件

开始处理 ../../data/raw/pubmed_incremental_2026-03-31.json ...
✗ 导入失败 Nociceptor-derived CGRP enhances dermal type I conventional : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174360c7ba22cbcbef0b3ad5a364f1d5ffd4d534385b', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174399d15b81097ef4f266330d7ca8118c9494b733f2', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174696716fddb08fde0ff9d4c650d24eb426d1c249c1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 3D-hUMSCs Exosomes Ameliorate Vitiligo by Simultaneously Pot: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601747185f58b4b9fafb5c5ad2de0705d9b0095dc6bf3a', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Pathogenesis of Alopecia Areata and Vitiligo: Commonalities : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601747385e41e59681f633b1b8d63fc66f6f148414a66d', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Lighting up arginine metabolism reveals its functional diver: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174766da6f4ee8e5443fabd9dcec9964b86351800e5d', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 [Vitiligo].: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601747892995bc22d90d000b5906a82fb2f729a6947922', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Estimating the burden of vitiligo: a systematic review and m: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601748114f24b207f6c3c840415c2dc20832f65f4d2451', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 [Vitiligo].: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174836062a251027a41080f375ac205c9b1b8647e838', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Off-label use of JAK1 inhibitor upadacitinib in dermatology.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174862593d1c183d006393a9c4d8ceacb21e14186fec', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Epigenetic Modifications in Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017488341ada118d7ae07c5231ef7461655b7174bbbb5', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Genetic and immune dysregulation in vitiligo: Insights into : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174907ec3e29a635d42c3f3601d44c8b11b6264ea6f9', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Recent clinical and mechanistic insights into vitiligo offer: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601749303ded49481a9ccf2ca6a69a875bd058d21f2583', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Vitiligo: A Review of Pathogenesis and Treatments, Including: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601749520bb38117aea02fc7ff24e6e3c6a99dd067771f', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Relative Impact of Monotherapies for Vitiligo: A Network Met: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174975da22f1f1183cde111ae4437ca04d4ff41d0825', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Gut microbiota dysbiosis orchestrates vitiligo-related oxida: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060174994a875826c5ac65c2e28b4dfe9e44eaa50ee2789', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 JAK Inhibitors for the Treatment of Vitiligo: Current Eviden: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601750146701c75e44aa5c11ca5fd4df8d21a6f6975551', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Hair regrowth in alopecia areata and re-pigmentation in viti: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175042330edc087ce5f372bcb555bb9f32a96f5ee362', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Markers of Metabolic Abnormalities in Vitiligo Patients.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601750623092798188ab5941c5f23c4f47e04b6ead6c36', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Management of vitiligo: a promising future.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601750831110baccf5a02b233f077af8826b89259d3330', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Transcriptomic profiling of vitiligo patients shows polar im: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175103357cd97c1d0444c790dc8f01c18238ddb44ccf', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Immune checkpoint inhibitor-induced vitiligo: A large-scale : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175124a9c6544091777d16bd21be5aab8209d371bfaf', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Mechanisms of pyroptosis in vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601754028e448306abe42712131f7cc9472f1383193df4', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Real World Side-Effects of Dupilumab: A Narrative Review.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601754304cd12d9a65b304ac3863be401f462553cc06bc', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Epidemiology, genetics and management of vitiligo in the USA: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175447fcf36596e09aec8e6d4343a28ec37f7f8b6dcb', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The Neuro-Endocrinal Regulation in Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601754715e43bed6e99f957d955d5fe9d61687639f54f2', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Combination of Baricitinib and Phototherapy in Adults With A: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175493784d9b012837ef9c35d3c5254d94dc1eddcce2', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Genetics and epigenetics in vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175513abc63b75a61d766eeaf0ad24ad7ae71638da45', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 The brain-skin axis in vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175534acc00df0e108ef37a57df2e837366b75d1c8c0', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 SIRT7 facilitates ferroptosis resistance of melanocytes via : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175552cb1021ee4195f5391b444bb7c7eb4d078b02af', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Galangin alleviates vitiligo by targeting ANXA2 degradation : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175573c61c50a20154e4db98670d006640211bf79dc7', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 An Overview of the Biological Complexity of Vitiligo.: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175592b440c0e928bbb74497bca21bcc3a1608dadda2', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Candidate approaches for predicting vitiligo recurrence: an : Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175705887d0d51504e693424d4c44516d007e1a16be2', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Escherichia Abundance and Metabolism Align with Vitiligo Dis: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175729941531497079c912b7846ffe9243569dabc9a1', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Oral tofacitinib in comparison with dexamethasone oral mini-: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 02177506017575393d2a15ce4e5f6c0a8e1612e74e5f9d7131ffc', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Systematic evidence grading evaluates multisystemic associat: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175772b7f99da0eb26b9ad44cd88ab09cbbdaf769029', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Deciphering Depigmentation: Mouse Models for Vitiligo Resear: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175804ca53c98b4a9847edf4b59a94723c611ec2e5b9', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 [Vitiligo-update on pathogenesis, diagnostics and therapy].: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601758237d8ec4d988cc7ba637a273ca7a40c11b48900d', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 JAK inhibitors in immune regulation and treatment of vitilig: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 0217750601758467567f706121169fe4c693c57ce45241c1fb861', 'param': '', 'type': 'Not Found'}}
✗ 导入失败 Rubia cordifolia L. extract ameliorates vitiligo by inhibiti: Error code: 404 - {'error': {'code': 'InvalidEndpointOrModel.NotFound', 'message': 'The model or endpoint ep-20250528143408-xxxxxx does not exist or you do not have access to it. Request id: 021775060175868990e95037dc0613d8d2aeb1d80253bec1dc1b8', 'param': '', 'type': 'Not Found'}}
